GameId,SeasonYear,OffenseTeam,ConversionSuccess,ShortYardage,IsRush,MediumYardage,IsPass,IsGoForIt,LongYardage,IsTouchdown,IsIncomplete,YardsToGo,DownToGoRatio,Yards,YardLineFixed,FieldPosition
2019120105,2019,KC,,0,0,0,0,0,1,0,0,14,2.8,0,32,0.32
2019120105,2019,KC,,0,0,0,0,0,1,0,0,15,3.0,0,29,0.29
2019120812,2019,TEN,,0,0,1,0,0,0,0,0,6,1.2,0,10,0.1
2019120812,2019,TEN,,0,0,1,0,0,0,0,0,5,1.0,0,25,0.25
2019100605,2019,LV,,0,0,0,0,0,1,0,0,18,3.6,0,36,0.36
2019092905,2019,LV,,0,0,0,0,0,1,0,0,8,1.6,0,8,0.08
2019090901,2019,LV,,0,0,1,0,0,0,0,0,3,0.6,0,11,0.11
2019090901,2019,LV,,0,0,1,0,0,0,0,0,3,0.6,0,49,0.49
2019090901,2019,LV,,0,0,1,0,0,0,0,0,4,0.8,0,48,0.48
2019090901,2019,LV,,1,0,0,0,0,0,0,0,1,0.2,0,34,0.34
2019091510,2019,LV,,1,0,0,0,0,0,0,0,2,0.4,0,30,0.3
2019091510,2019,LV,,0,0,0,0,0,1,0,0,7,1.4,0,25,0.25
2019091510,2019,LV,1.0,1,1,0,0,1,0,0,0,2,0.4,8,44,0.44
2019091510,2019,LV,,0,0,0,0,0,1,0,0,21,4.2,0,41,0.41
2019091510,2019,LV,,0,0,0,0,0,1,0,0,8,1.6,0,42,0.42
2019091510,2019,LV,,1,0,0,0,0,0,0,0,1,0.2,0,46,0.46
2019091510,2019,LV,,0,0,0,0,0,1,0,0,22,4.4,0,13,0.13
2019092205,2019,LV,,0,0,0,0,0,1,0,0,8,1.6,0,27,0.27
2019092205,2019,LV,,0,0,1,0,0,0,0,0,6,1.2,0,32,0.32
2019092205,2019,LV,,0,0,0,0,0,1,0,0,10,2.0,0,25,0.25
2019092205,2019,LV,1.0,1,1,0,0,1,0,0,0,1,0.2,18,34,0.34
2019092905,2019,LV,,0,0,0,0,0,1,0,0,7,1.4,0,28,0.28
2019120105,2019,LV,0.0,1,1,0,0,1,0,0,0,1,0.2,0,40,0.4
2019120105,2019,LV,,0,0,0,0,0,1,0,0,8,1.6,0,38,0.38
2019120105,2019,LV,1.0,1,1,0,0,1,0,0,0,1,0.2,4,40,0.4
