GameId,Quarter,Minute,Second,Down,ToGo,YardLine,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,PassType,IsSack
2019100605,2,2,0,4,14,77,2019,0,FIELD GOAL,FIELD GOAL,0,0,UNKNOWN,0
2019111709,2,14,4,4,9,32,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019111709,2,5,23,4,7,23,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019111709,4,13,42,4,15,10,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019112406,4,13,25,4,19,13,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019112406,4,1,11,4,14,22,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019120105,2,12,53,4,14,32,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019120105,2,0,7,4,15,29,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019120812,3,8,56,4,6,10,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019120812,4,7,53,4,5,25,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019100605,1,9,50,4,18,64,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019092905,3,3,18,4,8,92,2019,0,FIELD GOAL,FIELD GOAL,0,0,UNKNOWN,0
2019090901,4,4,41,4,3,89,2019,0,FIELD GOAL,FIELD GOAL,0,0,UNKNOWN,0
2019090901,3,1,24,4,3,51,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019090901,1,2,37,4,4,48,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019090901,3,7,10,4,1,34,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019091510,4,12,50,4,7,25,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019091510,4,9,6,4,2,44,2019,8,SHOTGUN,SCRAMBLE,1,0,UNKNOWN,0
2019091510,4,6,38,4,21,41,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019091510,1,1,12,4,8,42,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019091510,2,12,36,4,1,46,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019091510,2,0,59,4,22,13,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019092205,1,10,0,4,8,27,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019092205,1,5,32,4,6,32,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019092205,3,13,4,4,10,25,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019092205,3,5,20,4,1,34,2019,18,UNDER CENTER,RUSH,1,0,UNKNOWN,0
2019092905,2,6,41,4,7,28,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019120105,2,9,58,4,1,60,2019,0,UNDER CENTER,RUSH,1,0,UNKNOWN,0
2019120105,1,0,48,4,8,62,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019120105,3,2,50,4,1,60,2019,4,UNDER CENTER,RUSH,1,0,UNKNOWN,0
2019120105,2,1,9,4,17,74,2019,0,FIELD GOAL,FIELD GOAL,0,0,UNKNOWN,0
2019112406,4,11,39,4,11,52,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019112406,2,7,17,4,2,75,2019,0,FIELD GOAL,FIELD GOAL,0,0,UNKNOWN,0
2019112406,1,10,0,4,8,71,2019,0,FIELD GOAL,FIELD GOAL,0,0,UNKNOWN,0
2019092905,2,0,16,4,10,47,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019092905,4,10,31,4,8,44,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019100605,3,1,58,4,14,44,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019100605,4,0,21,4,1,35,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019102004,1,8,17,4,4,31,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019102004,4,4,43,4,4,40,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019102704,1,13,42,4,11,37,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019102704,1,8,37,4,3,27,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019102704,1,0,12,4,4,31,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019102704,2,4,52,4,5,33,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019102704,2,0,48,4,3,32,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019102704,4,4,3,4,16,49,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019110307,3,13,0,4,3,38,2019,0,UNDER CENTER,PUNT,0,0,UNKNOWN,0
2019110307,4,10,22,4,17,13,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019110307,4,7,46,4,3,34,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019110307,2,13,34,4,5,86,2019,0,FIELD GOAL,FIELD GOAL,0,0,UNKNOWN,0
2019110700,1,1,48,4,13,17,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019110700,2,6,30,4,2,19,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019110700,3,4,2,4,10,53,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019092905,3,8,32,4,1,58,2019,1,UNDER CENTER,RUSH,1,0,UNKNOWN,0
2019092205,2,1,15,4,6,52,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019092205,4,8,35,4,18,67,2019,0,FIELD GOAL,FIELD GOAL,0,0,UNKNOWN,0
2019092205,3,3,19,4,1,61,2019,0,UNDER CENTER,RUSH,1,0,UNKNOWN,0
2019092205,4,12,0,4,3,56,2019,6,SHOTGUN,PASS,0,1,SHORT RIGHT,0
2019091510,2,3,44,4,5,50,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019091510,1,10,24,4,1,90,2019,0,FIELD GOAL,FIELD GOAL,0,0,UNKNOWN,0
2019110700,4,12,19,4,17,39,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019111709,1,12,20,4,15,41,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019121510,4,11,21,4,21,35,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019122201,1,2,33,4,4,42,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019122201,2,12,4,4,13,38,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019122201,2,6,5,4,13,15,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019112406,3,3,26,4,4,41,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019092905,2,2,17,4,16,9,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019122213,2,1,52,4,2,53,2019,14,SHOTGUN,PASS,0,1,SHORT LEFT,0
2019122213,1,3,51,4,7,61,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019122212,4,4,40,4,18,52,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019122212,4,8,4,4,4,69,2019,0,FIELD GOAL,FIELD GOAL,0,0,UNKNOWN,0
2019122210,4,12,38,4,3,52,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019122214,2,7,45,4,7,57,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019122214,2,11,46,4,9,61,2019,0,FIELD GOAL,FIELD GOAL,0,0,UNKNOWN,0
2019122212,2,0,34,4,6,65,2019,0,FIELD GOAL,FIELD GOAL,0,0,UNKNOWN,0
2019092905,4,2,36,4,7,39,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019100605,3,10,27,4,3,44,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019122211,2,5,48,4,8,59,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019122300,2,7,4,4,5,85,2019,0,FIELD GOAL,FIELD GOAL,0,0,UNKNOWN,0
2019122300,1,2,5,4,3,76,2019,0,FIELD GOAL,FIELD GOAL,0,0,UNKNOWN,0
2019122300,1,8,44,4,8,58,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019122300,1,13,14,4,5,95,2019,0,FIELD GOAL,FIELD GOAL,0,0,UNKNOWN,0
2019122214,4,1,44,4,6,86,2019,0,FIELD GOAL,FIELD GOAL,0,0,UNKNOWN,0
2019122208,3,3,45,4,3,66,2019,34,SHOTGUN,PASS,0,1,DEEP LEFT,0
2019122208,2,0,11,4,1,54,2019,12,SHOTGUN,PASS,0,1,SHORT RIGHT,0
2019122208,2,0,58,4,3,57,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019122213,4,10,7,4,10,67,2019,0,FIELD GOAL,FIELD GOAL,0,0,UNKNOWN,0
2019122213,4,15,0,4,6,88,2019,0,FIELD GOAL,FIELD GOAL,0,0,UNKNOWN,0
2019122213,3,1,20,4,5,74,2019,0,FIELD GOAL,FIELD GOAL,0,0,UNKNOWN,0
2019122213,3,11,40,4,8,73,2019,0,FIELD GOAL,FIELD GOAL,0,0,UNKNOWN,0
2019122210,2,13,41,4,17,71,2019,0,FIELD GOAL,FIELD GOAL,0,0,UNKNOWN,0
2019122214,3,0,3,4,8,72,2019,0,FIELD GOAL,FIELD GOAL,0,0,UNKNOWN,0
2019111709,3,5,31,4,6,29,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019111709,3,0,26,4,4,38,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019112406,1,3,10,4,13,39,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019112406,2,2,0,4,9,22,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019112406,2,0,15,4,3,45,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019112406,3,8,49,4,1,39,2019,0,UNDER CENTER,RUSH,1,0,UNKNOWN,0
2019112406,4,14,19,4,2,46,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019112406,4,3,34,4,5,35,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019120105,3,9,12,4,13,23,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019120105,4,15,0,4,11,85,2019,0,FIELD GOAL,FIELD GOAL,0,0,UNKNOWN,0
2019120812,2,14,23,4,9,49,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019120812,3,8,11,4,8,49,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019120812,3,3,28,4,3,37,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019120812,4,10,36,4,16,45,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019121510,1,4,56,4,7,85,2019,0,FIELD GOAL,FIELD GOAL,0,0,UNKNOWN,0
2019121510,2,13,44,4,26,44,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019122212,2,7,26,4,8,53,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019122212,2,13,0,4,3,69,2019,0,FIELD GOAL,FIELD GOAL,0,0,UNKNOWN,0
2019122212,1,9,36,4,4,82,2019,0,FIELD GOAL,FIELD GOAL,0,0,UNKNOWN,0
2019122208,4,3,12,4,3,71,2019,0,FIELD GOAL,FIELD GOAL,0,0,UNKNOWN,0
2019122208,2,10,51,4,2,98,2019,0,FIELD GOAL,FIELD GOAL,0,0,UNKNOWN,0
2019122205,3,9,12,4,10,63,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019122207,4,9,15,4,13,60,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019122207,4,13,45,4,1,88,2019,0,UNDER CENTER,RUSH,1,0,UNKNOWN,0
2019122207,3,0,47,4,10,54,2019,12,UNDER CENTER,PASS,0,1,SHORT RIGHT,0
2019122207,3,4,21,4,12,68,2019,0,FIELD GOAL,FIELD GOAL,0,0,UNKNOWN,0
2019122207,3,11,3,4,14,83,2019,0,FIELD GOAL,FIELD GOAL,0,0,UNKNOWN,0
