GameId,GameDate,SeasonYear,OffenseTeam,DefenseTeam,Description,Down,YardsToGo,YardLineFixed,FieldPosition,RedZone,OpponentTerritory,OwnTerritory,Quarter,GameTime,LateGame,Overtime,ShortYardage,MediumYardage,LongYardage,DownToGoRatio,DecisionType,IsGoForIt,IsFieldGoalAttempt,IsPuntAttempt,IsRush,IsPass,PlayType,Formation,Yards,ConversionSuccess,FieldGoalSuccess,PlaySuccess,IsTouchdown,IsIncomplete,IsSack,IsInterception,IsFumble
2021101009,2021-10-10,2021,CLE,LAC,"(2:25) 7-J.GILLAN PUNTS 53 YARDS TO END ZONE, CENTER-47-C.HUGHLETT, TOUCHBACK.",4,7,47,0.47,0,0,1,3,43,0,0,0,0,1,1.4,Punt,0,0,1,0,0,PUNT,PUNT,0,,,1,0,0,0,0,0
2021101009,2021-10-10,2021,LAC,CLE,(7:45) (SHOTGUN) 10-J.HERBERT PASS SHORT LEFT TO 13-K.ALLEN RAN OB AT CLE 10 FOR 12 YARDS.,4,7,22,0.22,0,0,1,3,38,0,0,0,0,1,1.4,Pass,1,0,0,0,1,PASS,SHOTGUN,12,1.0,,1,0,0,0,0,0
2021101009,2021-10-10,2021,LAC,CLE,(10:34) (SHOTGUN) 30-A.EKELER LEFT GUARD TO LAC 33 FOR 9 YARDS (38-A.GREEN).,4,2,24,0.24,0,0,1,3,35,0,0,1,0,0,0.4,Rush,1,0,0,1,0,RUSH,SHOTGUN,9,1.0,,1,0,0,0,0,0
2021101009,2021-10-10,2021,CLE,LAC,"(:04) 3-C.MCLAUGHLIN 31 YARD FIELD GOAL IS GOOD, CENTER-47-C.HUGHLETT, HOLDER-7-J.GILLAN.",4,1,13,0.13,0,0,1,2,30,0,0,1,0,0,0.2,FieldGoal,0,1,0,0,0,FIELD GOAL,FIELD GOAL,0,,0.0,1,0,0,0,0,0
2021101009,2021-10-10,2021,LAC,CLE,"(7:06) 1-T.LONG PUNTS 55 YARDS TO CLE 38, CENTER-54-M.OVERTON. 25-D.FELTON TO CLE 47 FOR 9 YARDS (49-D.TRANQUILL).",4,20,7,0.07,0,0,1,2,23,0,0,0,0,1,4.0,Punt,0,0,1,0,0,PUNT,PUNT,0,,,1,0,0,0,0,0
2021101009,2021-10-10,2021,CLE,LAC,"(7:43) 3-C.MCLAUGHLIN 35 YARD FIELD GOAL IS GOOD, CENTER-47-C.HUGHLETT, HOLDER-7-J.GILLAN.",4,10,17,0.17,0,0,1,1,8,0,0,0,0,1,2.0,FieldGoal,0,1,0,0,0,FIELD GOAL,FIELD GOAL,0,,0.0,1,0,0,0,0,0
2021101009,2021-10-10,2021,CLE,LAC,"(7:59) (PASS FORMATION) PENALTY ON CLE, DELAY OF GAME, 5 YARDS, ENFORCED AT LAC 12 - NO PLAY.",4,5,12,0.12,0,0,1,1,8,0,0,0,1,0,1.0,Unknown,0,0,0,0,0,NO PLAY,UNDER CENTER,0,,,0,0,0,0,0,0
2021101009,2021-10-10,2021,LAC,CLE,"(14:24) 1-T.LONG PUNTS 63 YARDS TO CLE 8, CENTER-54-M.OVERTON, DOWNED BY LAC-49-D.TRANQUILL.",4,6,29,0.29,0,0,1,1,1,0,0,0,1,0,1.2,Punt,0,0,1,0,0,PUNT,PUNT,0,,,1,0,0,0,0,0
2021101008,2021-10-10,2021,NO,WAS,(6:12) 2-J.WINSTON LEFT GUARD TO NO 36 FOR 2 YARDS (90-M.SWEAT).,4,1,34,0.34,0,0,1,4,54,1,0,1,0,0,0.2,Rush,1,0,0,1,0,RUSH,UNDER CENTER,2,1.0,,1,0,0,0,0,0
2021101008,2021-10-10,2021,WAS,NO,(10:08) (SHOTGUN) 4-T.HEINICKE PASS DEEP RIGHT TO 1-D.CARTER TO NO 23 FOR 26 YARDS (43-M.WILLIAMS).,4,14,49,0.49,0,0,1,4,50,1,0,0,0,1,2.8,Pass,1,0,0,0,1,PASS,SHOTGUN,26,1.0,,1,0,0,0,0,0
2021101011,2021-10-10,2021,ARI,SF,"(5:31) 5-M.PRATER 21 YARD FIELD GOAL IS GOOD, CENTER-46-A.BREWER, HOLDER-14-A.LEE.",4,3,3,0.03,0,0,1,2,25,0,0,0,1,0,0.6,FieldGoal,0,1,0,0,0,FIELD GOAL,FIELD GOAL,0,,0.0,1,0,0,0,0,0
2021101011,2021-10-10,2021,ARI,SF,"(2:39) 14-A.LEE TO ARI 25 FOR -13 YARDS. FUMBLES, AND RECOVERS AT ARI 26. 14-A.LEE PUNTS 56 YARDS TO SF 6, DOWNED BY ARI-29-J.WARD.",4,5,38,0.38,0,0,1,1,13,0,0,0,1,0,1.0,Punt,0,0,1,0,0,PUNT,PUNT,0,,,0,0,0,0,0,1
2021101011,2021-10-10,2021,SF,ARI,(4:51) (SHOTGUN) 5-T.LANCE LEFT TACKLE TO ARI 33 FOR 1 YARD (25-Z.COLLINS).,4,2,34,0.34,0,0,1,1,11,0,0,1,0,0,0.4,Rush,1,0,0,1,0,RUSH,SHOTGUN,1,0.0,,1,0,0,0,0,0
2021101008,2021-10-10,2021,NO,WAS,"(14:09) 4-B.GILLIKIN PUNTS 53 YARDS TO WAS 2, CENTER-49-Z.WOOD, DOWNED BY NO-88-T.MONTGOMERY.",4,7,45,0.45,0,0,1,4,46,1,0,0,0,1,1.4,Punt,0,0,1,0,0,PUNT,PUNT,0,,,1,0,0,0,0,0
2021101008,2021-10-10,2021,NO,WAS,"(14:09) (RUN FORMATION) 67-L.YOUNG REPORTED IN AS ELIGIBLE.  PENALTY ON NO, DELAY OF GAME, 5 YARDS, ENFORCED AT 50 - NO PLAY.",4,2,0,0.0,0,0,1,4,46,1,0,1,0,0,0.4,Unknown,0,0,0,0,0,NO PLAY,UNDER CENTER,0,,,0,0,0,0,0,0
2021101007,2021-10-10,2021,MIA,TB,"(7:13) 5-M.PALARDY PUNTS 44 YARDS TO TB 13, CENTER-44-B.FERGUSON, FAIR CATCH BY 85-J.MICKENS.",4,13,43,0.43,0,0,1,4,53,1,0,0,0,1,2.6,Punt,0,0,1,0,0,PUNT,PUNT,0,,,1,0,0,0,0,0
2021101007,2021-10-10,2021,TB,MIA,"(12:55) 8-B.PINION PUNTS 41 YARDS TO MIA 13, CENTER-46-C.TINKER, FAIR CATCH BY 17-J.WADDLE.",4,2,46,0.46,0,0,1,3,33,0,0,1,0,0,0.4,Punt,0,0,1,0,0,PUNT,PUNT,0,,,1,0,0,0,0,0
2021101007,2021-10-10,2021,MIA,TB,"(12:46) 5-M.PALARDY PUNTS 39 YARDS TO TB 30, CENTER-44-B.FERGUSON, DOWNED BY MIA-86-M.HOLLINS.",4,4,31,0.31,0,0,1,2,18,0,0,0,1,0,0.8,Punt,0,0,1,0,0,PUNT,PUNT,0,,,1,0,0,0,0,0
